OP Growth,Return,Year
-29.04,-9.48,2019
10.51,-9.49,2013
-13.09,-9.6,2013
2234.57,-9.75,2008
-8.54,-9.88,2013
13.1,-10.02,2013
-19.78,-10.08,2005
73.64,-10.14,2011
44.39,-10.17,2012
19.9,-10.2,2012
8.28,-10.22,2006
15.41,-10.25,2006
-304.7,-10.3,2019
69.01,-10.35,2006
-0.45,-10.36,2011
226.63,-10.44,2006
3.77,-10.59,2014
-55.33,-10.78,2012
-3.76,-10.82,2012
56.35,-10.86,2006
-7.91,-10.96,2005
361.03,-10.98,2013
63.73,-10.99,2003
-74.21,-11.1,2003
-75.65,-11.11,2008
16.59,-11.27,2008
5.55,-11.28,2014
51.04,-11.3,2008
47.81,-11.35,2012
37.85,-11.45,2019
-2.29,-11.51,2008
-7.25,-11.61,2006
48.99,-11.66,2013
-3.95,-11.69,2019
11.08,-11.71,2019
36.54,-11.73,2006
50.9,-11.76,2006
-108.36,-11.77,2006
-53.99,-11.78,2003
-20.78,-11.81,2014
45.34,-11.86,2011
34.94,-11.88,2008
-34.8,-11.9,2012
-31.11,-12.03,2003
-42.23,-12.06,2019
15.42,-12.08,2019
-90.21,-12.14,2013
234.21,-12.35,2008
-3.91,-12.37,2014
-6.67,-12.41,2014
16.42,-12.45,2006
19.78,-12.49,2006
43.36,-12.5,2011
-51.14,-12.54,2008
266.87,-12.61,2008
-17.13,-12.61,2006
18.66,-12.62,2008
-22.74,-12.62,2008
-99.6,-12.63,2013
-47.69,-12.86,2006
3.23,-12.93,2014
21,-12.97,2019
-54.45,-12.98,2019
-1.57,-13.02,2014
11.45,-13.1,2003
-0.73,-13.18,2014
-5.66,-13.23,2014
108.93,-13.26,2011
11.4,-13.29,2013
-25.64,-13.3,2013
1059.62,-13.39,2006
224.48,-13.42,2019
-16.71,-13.43,2012
-58.17,-13.57,2019
-26.23,-13.65,2013
-61.92,-13.69,2013
52.78,-13.7,2008
107.56,-13.72,2008
378.15,-13.77,2008
-69.66,-13.77,2019
-66.46,-13.84,2019
6.54,-13.95,2012
38.22,-14.01,2006
8.19,-14.02,2011
34.19,-14.04,2012
28.11,-14.11,2011
17.27,-14.23,2012
-19.53,-14.31,2019
