Class,Return,Leverage
Equity,51.7 ,
Equity,51.7 ,
Equity,51.7 ,
Equity,51.7 ,
Equity,51.7 ,
Equity,51.7 ,
Equity,51.7 ,
Equity,51.6 ,
Equity,51.6 ,
Equity,51.6 ,
Equity,51.6 ,
Equity,51.5 ,
Equity,51.4 ,
Equity,51.4 ,
Equity,51.4 ,
Equity,51.3 ,
Equity,51.3 ,
Equity,51.2 ,Short
Equity,51.2 ,
Equity,51.2 ,
Equity,51.2 ,
Equity,51.2 ,
Equity,51.1 ,
Equity,51.1 ,
Equity,51.1 ,
Equity,51.1 ,
Equity,51.1 ,
Equity,51.0 ,
Equity,51.0 ,
Equity,51.0 ,
Equity,50.9 ,
Equity,50.9 ,
